dim_1,dim_2,dim_3,value
3,11,13,0.0000000000001625
3,11,14,7.64299e-20
3,11,15,1.07555e-26
3,11,16,0
3,12,1,1.8558792223865117
3,12,2,98.5264641289143128
3,12,3,629.5072032448750861
3,12,4,1833.2401780761226746
3,12,5,892.7640174556368038
3,12,6,181.6704096886221009
3,12,7,17.6226574779922949
3,12,8,2.1190175680338754
3,12,9,0.0167147397588925
3,12,10,0.0004829772147853
3,12,11,0.0000026230195472
3,12,12,0.0000000003253614
3,12,13,0.0000000000000562
3,12,14,2.82214e-20
3,12,15,4.13026e-27
3,12,16,0
3,13,1,0.0004353799486315
3,13,2,0.026266793258051
3,13,3,0.2330618286767484
3,13,4,1.1287434381640844
3,13,5,0.593037347960967
3,13,6,0.1669893484380899
3,13,7,0.0121857672983718
3,13,8,0.0005881863903848
3,13,9,0.0000063656155141
3,13,10,0.000000096556256
3,13,11,0.0000000005194334
3,13,12,0.0000000000072902
3,13,13,0.0000000000000003
3,13,14,2.2623e-20
3,13,15,3.29706e-27
3,13,16,0
3,14,1,0.0000000223189413
3,14,2,0.0000015889936321
3,14,3,0.0000187822056667
3,14,4,0.000067617452633
3,14,5,0.0000516930405845
3,14,6,0.0000141008113382
3,14,7,0.0000012479035641
3,14,8,0.000000059626994
3,14,9,0.0000000008645098
3,14,10,0.0000000000073441
3,14,11,0.0000000000000344
3,14,12,0.0000000000000005
3,14,13,3.06018e-18
3,14,14,3.872e-23
3,14,15,2.37418e-27
3,14,16,0
3,15,1,0.00000000000065
3,15,2,0.0000000000486135
3,15,3,0.0000000006540479
3,15,4,0.0000000029307843
3,15,5,0.0000000021408057
3,15,6,0.0000000020203875
3,15,7,0.0000000000918873
3,15,8,0.0000000000019501
3,15,9,0.0000000000000315
3,15,10,0.0000000000000002
3,15,11,7.10045e-19
3,15,12,8.641e-21
3,15,13,5.81352e-23
3,15,14,3.22569e-25
3,15,15,1.18403e-30
3,15,16,0
3,16,1,0
3,16,2,0
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,16,7,0
3,16,8,0
3,16,9,0
3,16,10,0
3,16,11,0
3,16,12,0
3,16,13,0
3,16,14,0
3,16,15,0
3,16,16,0
4,1,1,124515.7321005047124345
4,1,2,894674.9694321155548096
4,1,3,479827.2640670816763304
4,1,4,92025.0711931543628452
4,1,5,13241.517617558271013
4,1,6,931.0643745252689314
4,1,7,20.6661160959217298
4,1,8,1.3720920271342769
4,1,9,0.0000002581466617
4,1,10,0.0000000000000003
4,1,11,-1.63904e-25
4,1,12,-2.62466e-34
4,1,13,-3.09878e-42
4,1,14,-9.97228e-50
4,1,15,-1.01723e-56
4,1,16,0
4,2,1,2584345.1352983503602445
4,2,2,7100812.4810672029852867
4,2,3,5576318.9176524486392736
4,2,4,1198140.1677819844335318
4,2,5,183870.466907561669359
4,2,6,13647.4763329215202248
4,2,7,369.2614106256400532
4,2,8,24.0155263321783856
4,2,9,0.0000087562484159
4,2,10,0.0000000000001105
4,2,11,3.54249e-22
4,2,12,1.22652e-30
4,2,13,4.10177e-38
4,2,14,1.38363e-45
4,2,15,1.76004e-52
4,2,16,0
4,3,1,17907377.7022186070680618
4,3,2,68499273.6359134614467621
4,3,3,31479122.7139068245887756
4,3,4,10069689.9991090558469296
4,3,5,1740593.2636187218595296
4,3,6,134210.4529087383125443
4,3,7,4346.0126765103332218
4,3,8,280.9453335468646173
4,3,9,0.0002869812616015
4,3,10,0.0000000000228614
4,3,11,-3.01269e-19
4,3,12,-2.39953e-27
4,3,13,-2.30577e-34
4,3,14,-8.46202e-42
4,3,15,-1.37345e-48
4,3,16,0
4,4,1,100343181.5331567525863647
4,4,2,398770934.073685884475708
4,4,3,260679242.0679819285869598
4,4,4,48145908.1246777847409248
4,4,5,12578534.5196194685995579
4,4,6,1055906.2470726554747671
4,4,7,39749.3985813756444259
4,4,8,2590.4858483883372173
4,4,9,0.0093189934809047
4,4,10,0.0000000033325288
4,4,11,0.0000000000000002
4,4,12,2.89173e-24
4,4,13,6.90253e-31
4,4,14,3.01526e-38
4,4,15,6.31871e-45
4,4,16,0
4,5,1,442293428.3189984560012817
4,5,2,1827211400.8913309574127197
4,5,3,1262779956.5092582702636719
4,5,4,350927642.7162125110626221
4,5,5,44785785.0534221231937408
4,5,6,6123188.9568812558427453
4,5,7,279117.5799141659517772
4,5,8,18251.7549717698639142
4,5,9,0.2771597291067687
4,5,10,0.000000232050129
4,5,11,0.0000000000000651
4,5,12,-1.84471e-21
4,5,13,-1.11895e-27
4,5,14,-7.06675e-35
4,5,15,-1.88421e-41
4,5,16,0
4,6,1,1441490042.0518209934234619
4,6,2,6140109423.7365570068359375
4,6,3,4482785467.111572265625
4,6,4,1383922964.4342238903045654
4,6,5,298977880.001273512840271
4,6,6,19036366.5175438337028027
4,6,7,1514089.6853713777381927
4,6,8,99028.9231058455770835
4,6,9,4.3243210313536471
4,6,10,0.0000145139027969
4,6,11,0.0000000000122048
4,6,12,3.40927e-18
4,6,13,7.84675e-25
4,6,14,1.16945e-31
4,6,15,3.7141e-38
4,6,16,0
4,7,1,3277041754.8856496810913086
4,7,2,14521599471.5943984985351562
4,7,3,11116817040.9880867004394531
4,7,4,3754762180.8559780120849609
4,7,5,878118064.656244158744812
4,7,6,95746520.0483698397874832
4,7,7,3764969.795184682123363
4,7,8,363219.4480031211860478
4,7,9,45.7910114510004647
4,7,10,0.0002665985262272
4,7,11,0.000000000949188
4,7,12,0.0000000000000006
4,7,13,3.16709e-22
4,7,14,-1.37904e-28
4,7,15,-4.64714e-35
4,7,16,0
4,8,1,3921632263.0150413513183594
4,8,2,18065562290.1208229064941406
4,8,3,15033526404.4447593688964844
4,8,4,5587052724.8979225158691406
4,8,5,1416591560.9916660785675049
4,8,6,160616930.306544691324234
4,8,7,11688010.2580984570086002
4,8,8,524731.0744796351063997
4,8,9,1066.2196606721956869
4,8,10,0.0119711463280852
4,8,11,0.0000000836034091
4,8,12,0.000000000000239
4,8,13,1.60285e-19
4,8,14,1.19132e-25
4,8,15,3.15619e-32
4,8,16,0
4,9,1,224009100.6806460916996002
4,9,2,1159372335.0578420162200928
4,9,3,1169066653.8214325904846191
4,9,4,550656092.0842088460922241
4,9,5,147230795.812585711479187
4,9,6,18311661.2752645201981068
4,9,7,1652523.9268416955601424
4,9,8,236996.9533416020567529
4,9,9,472.1167483331710741
4,9,10,0.1060570236197002
4,9,11,0.0000004442569817
4,9,12,0.0000000000010728
4,9,13,1.09051e-18
4,9,14,4.197e-25
4,9,15,5.33207e-32
4,9,16,0
4,10,1,142497.8478658450767398
4,10,2,2785703.3635349962860346
4,10,3,7143785.1941098943352699
4,10,4,4961193.2044571433216333
4,10,5,1381098.5891103919129819
4,10,6,180248.1865754220052622
4,10,7,17091.8777249192899035
4,10,8,2859.82341130931718
4,10,9,22.4186186704797663
4,10,10,0.0124260096721408
4,10,11,0.0000023225089783
4,10,12,0.0000000000059228
4,10,13,6.24399e-18
4,10,14,2.19204e-24
4,10,15,1.85105e-30
4,10,16,0
4,11,1,27.5032151413244783
4,11,2,978.2476238165043014
4,11,3,3903.9063602062706195
4,11,4,4996.9527338871585016
4,11,5,1568.6773315865032146
4,11,6,294.611718205918578
4,11,7,18.9084404928305965
4,11,8,2.5763124484583391
4,11,9,0.0323040452953985
4,11,10,0.0003237934880041
4,11,11,0.0000000995554301
4,11,12,0.0000000000186313
4,11,13,0.0000000000000001
4,11,14,4.92769e-23
4,11,15,5.34954e-30
4,11,16,0
4,12,1,0.0036796467171779
4,12,2,0.1664571897326471
4,12,3,0.969758231014631
4,12,4,2.5354982103162986
4,12,5,1.1601266423999761
4,12,6,0.229175372046752
4,12,7,0.0228544918756927
4,12,8,0.0030204568740209
4,12,9,0.0000208009226115
4,12,10,0.0000005134194988
4,12,11,0.0000000026306815
4,12,12,0.0000000000003029
4,12,13,4.13239e-17
4,12,14,1.71375e-23
4,12,15,1.94937e-30
4,12,16,0
4,13,1,0.000000612275609
